,GOOG
2019-10-14,49.544680650321475
2019-10-15,49.00290334018495
2019-10-16,50.65593423531427
2019-10-17,58.497318543500896
2019-10-18,57.97268240889313
2019-10-21,63.424682553227136
2019-10-22,75.89420226248797
2019-10-23,76.82471213229337
2019-10-24,72.88495444455259
2019-10-25,74.67576174444075
2019-10-28,91.09430607747504
2019-10-29,72.02221792578085
2019-10-30,69.94694127099166
2019-10-31,67.6801547385042
2019-11-01,70.47167176801848
2019-11-04,68.59999776986533
2019-11-05,68.6072751254453
2019-11-06,66.02662174355302
2019-11-07,74.31506187642748
2019-11-08,74.67459932146014
2019-11-11,69.99790041472221
2019-11-12,65.86167029172299
2019-11-13,64.92460443943435
2019-11-14,67.37678273012384
2019-11-15,67.0155492702166
2019-11-18,74.47745616342247
2019-11-19,72.10123228366555
2019-11-20,66.04869625123041
2019-11-21,61.32947386941312
2019-11-22,51.80079290812343
2019-11-25,56.0618679507661
2019-11-26,58.526087107359515
2019-11-27,51.85950072549795
2019-11-28,50.746281246177915
2019-11-29,52.76365603028665
2019-12-02,46.27015663855206
2019-12-03,48.899662232230156
2019-12-04,53.35304730790426
2019-12-05,47.181818065815214
2019-12-06,58.4477958867251
2019-12-09,62.15397124588831
2019-12-10,69.94925922566185
2019-12-11,71.20938146591334
2019-12-12,76.87644371975375
2019-12-13,72.05197957851655
2019-12-16,73.86740289238817
2019-12-17,70.01428022587403
2019-12-18,68.38981574710154
2019-12-19,74.76247821545763
2019-12-20,81.5547016588584
2019-12-23,79.77541052302983
2019-12-24,66.45226722502127
2019-12-25,62.36972413320677
2019-12-26,64.82312421098854
2019-12-27,55.76147366065869
2019-12-30,45.10003176726006
2019-12-31,45.42645640003001
2020-01-01,41.941381403230686
2020-01-02,58.872108668210274
2020-01-03,49.75355077090027
2020-01-06,64.92101526343194
2020-01-07,65.73902273598537
2020-01-08,67.63072259617527
2020-01-09,74.058085387715
2020-01-10,76.07166990766834
2020-01-13,80.0188065501184
2020-01-14,76.0345392342408
2020-01-15,74.75182227062012
2020-01-16,80.58461518319956
2020-01-17,90.95443687470595
2020-01-20,90.90901174688042
2020-01-21,91.11239752441111
2020-01-22,89.41096999166265
2020-01-23,93.61620980879796
2020-01-24,77.70982874978714
2020-01-27,62.460062400156
2020-01-28,64.15158528014898
2020-01-29,62.04970003696227
2020-01-30,58.48330348803313
2020-01-31,48.49397645735169
2020-02-03,63.14959757620105
2020-02-04,51.64020497712548
2020-02-05,49.24093180369237
2020-02-06,49.087237258049065
2020-02-07,49.748792870766785
2020-02-10,54.73625996165058
2020-02-11,54.48053736275578
2020-02-12,55.99636788950421
2020-02-13,59.69352847582918
2020-02-14,69.68271238681268
2020-02-17,66.88128526340208
2020-02-18,65.49708871008356
2020-02-19,67.60951071271182
2020-02-20,72.30728171248902
2020-02-21,49.75508318345931
2020-02-24,43.435692698620365
2020-02-25,36.77786417623125
2020-02-26,29.523139491574526
2020-02-27,20.689021584243378
2020-02-28,18.247267184238467
2020-03-02,31.083632995926507
2020-03-03,25.057815432998225
2020-03-04,33.824766100423005
2020-03-05,27.95626409771772
2020-03-06,26.75002473296378
2020-03-09,22.842937431852363
2020-03-10,30.063760317329354
2020-03-11,27.54685140072668
2020-03-12,25.041103624340764
2020-03-13,37.10850866424976
2020-03-16,32.821560762833045
2020-03-17,35.07620610203578
2020-03-18,37.19133832974649
2020-03-19,36.99075298513381
2020-03-20,31.45843762014846
2020-03-23,32.683485451121115
2020-03-24,35.25896357458576
2020-03-25,36.786867742382086
2020-03-26,42.03687409687252
2020-03-27,43.655222376771086
2020-03-30,41.6262302283155
2020-03-31,46.486586644464204
2020-04-01,49.34136778880324
2020-04-02,41.968652382585226
2020-04-03,51.34635954621778
2020-04-06,56.02751339542579
2020-04-07,58.39682592957316
2020-04-08,58.80401208269169
2020-04-09,63.9781329621374
2020-04-10,66.06219736763165
2020-04-13,60.12821414078746
2020-04-14,69.39107165355588
2020-04-15,63.34251768835625
2020-04-16,73.3292692930061
2020-04-17,71.92915331515933
2020-04-20,66.64957484187815
2020-04-21,68.16275150986016
2020-04-22,71.15769151053739
2020-04-23,77.31713932165403
2020-04-24,69.20392244176377
2020-04-27,68.34586367249926
2020-04-28,54.463567365467775
2020-04-29,67.63597516290984
2020-04-30,68.25427211145907
2020-05-01,62.953482858835116
2020-05-04,58.1708276565983
2020-05-05,61.98355751126906
2020-05-06,61.247823169056396
2020-05-07,61.80943872167147
2020-05-08,66.13570943988742
2020-05-11,77.33389235837461
2020-05-12,67.44274108630393
2020-05-13,60.86995729192363
2020-05-14,61.30771065622042
2020-05-15,63.7711988847102
2020-05-18,73.34473377233083
2020-05-19,57.12822429906542
2020-05-20,61.58651257853209
2020-05-21,68.1498868496212
2020-05-22,68.34980870443378
2020-05-25,64.56964093075977
2020-05-26,66.89525626661637
2020-05-27,62.44707579894886
2020-05-28,58.48136709452257
2020-05-29,57.79985361794655
2020-06-01,70.04719348236844
2020-06-02,87.18770003042673
2020-06-03,84.3242650571586
2020-06-04,65.71674250560028
2020-06-05,69.51618090056508
2020-06-08,76.63648955399087
2020-06-09,71.76445141840732
2020-06-10,76.41398108597735
2020-06-11,48.10634969845103
2020-06-12,50.75373115047036
2020-06-15,50.772604310121466
