,MSFT
2019-04-24,83.75142993870101
2019-04-25,88.64768787526043
2019-04-26,89.27439613235927
2019-04-29,93.16871435694016
2019-04-30,93.12343556420855
2019-05-01,75.76787294286511
2019-05-02,66.75157799491024
2019-05-03,71.4597790521703
2019-05-06,69.66950003477154
2019-05-07,59.195684434163844
2019-05-08,55.691491433970015
2019-05-09,55.661877708162706
2019-05-10,58.403982964940504
2019-05-13,45.282155162347784
2019-05-14,49.39394179595355
2019-05-15,42.27160880820523
2019-05-16,47.859037810790866
2019-05-17,46.32988143459137
2019-05-20,40.942909483996225
2019-05-21,47.786817738539554
2019-05-22,53.4369146163835
2019-05-23,43.21357881949031
2019-05-24,45.06460156160358
2019-05-27,52.15311747097901
2019-05-28,51.9356839543871
2019-05-29,48.44444858881389
2019-05-30,45.920757320851266
2019-05-31,51.06935292948412
2019-06-03,36.33310944080177
2019-06-04,42.82129934931805
2019-06-05,42.1240040690119
2019-06-06,49.39930906519226
2019-06-07,61.490670405319314
2019-06-10,62.359070458071244
2019-06-11,59.7191888406672
2019-06-12,62.11776004434866
2019-06-13,63.40389172860502
2019-06-14,63.612445576607854
2019-06-17,64.46173068689558
2019-06-18,71.09825406055506
2019-06-19,70.78462671553807
2019-06-20,78.63615304752581
2019-06-21,94.2635645466288
2019-06-24,93.40854601105809
2019-06-25,70.51832908059228
2019-06-26,67.93890393910465
2019-06-27,60.05851243138016
2019-06-28,55.371255355948335
2019-07-01,62.8962290493581
2019-07-02,67.96048862642735
2019-07-03,68.0731521234096
2019-07-04,67.77860563438243
2019-07-05,64.93964708761732
2019-07-08,57.57577703652993
2019-07-09,53.24896568508153
2019-07-10,53.75629998433363
2019-07-11,55.71540786530284
2019-07-12,54.59015081209399
2019-07-15,84.84088046402414
2019-07-16,67.17568302873887
2019-07-17,60.860748965415894
2019-07-18,62.65431517343581
2019-07-19,55.73173500262378
2019-07-22,60.15366036269474
2019-07-23,60.06597059021016
2019-07-24,65.4943091246916
2019-07-25,64.69490913467325
2019-07-26,68.71795808124742
2019-07-29,69.8523299885857
2019-07-30,61.57411986108795
2019-07-31,42.56806040490711
2019-08-01,47.31114519327518
2019-08-02,44.04051316186713
2019-08-05,37.608131823758725
2019-08-06,46.29454812217074
2019-08-07,47.380511773339286
2019-08-08,54.50935079437346
2019-08-09,48.533033711777584
2019-08-12,43.16405598073576
2019-08-13,46.071170029861555
2019-08-14,40.006423721014066
2019-08-15,37.326268443593484
2019-08-16,42.42893774171919
2019-08-19,47.14369672232796
2019-08-20,51.595213180276794
2019-08-21,51.186212060727634
2019-08-22,51.43697607132856
2019-08-23,51.945895783405994
2019-08-26,51.270892137855576
2019-08-27,50.77703700610711
2019-08-28,43.637764047295725
2019-08-29,50.74407885590917
2019-08-30,53.99768967366641
2019-09-02,48.39687076260122
2019-09-03,55.07888210721466
2019-09-04,59.15624774514117
2019-09-05,59.0993357404507
2019-09-06,51.70707988922478
2019-09-09,50.62986817125318
2019-09-10,43.40635269972661
2019-09-11,45.76097494069495
2019-09-12,62.44725195080405
2019-09-13,56.34761386320152
2019-09-16,51.91184527235365
2019-09-17,55.610056385438014
2019-09-18,51.34411496579596
2019-09-19,59.34770340944941
2019-09-20,54.20212502607382
2019-09-23,58.96990986026928
2019-09-24,49.2836681228817
2019-09-25,47.97177529315517
2019-09-26,51.354639882364545
2019-09-27,50.63749678055324
2019-09-30,59.03244524636914
2019-10-01,52.602773169948634
2019-10-02,42.55316621782451
2019-10-03,47.48790354681865
2019-10-04,54.1531160850272
2019-10-07,49.37179105759925
2019-10-08,43.46628513859544
2019-10-09,43.51809071534568
2019-10-10,49.19279112700589
2019-10-11,51.26521500682498
2019-10-14,55.50482189155021
2019-10-15,55.59495802864019
2019-10-16,52.098433563159844
2019-10-17,54.989833948009796
2019-10-18,46.07178588554277
2019-10-21,53.455248622211464
2019-10-22,54.451354258644685
2019-10-23,52.586227449897116
2019-10-24,54.685913815266346
2019-10-25,59.39616107137325
2019-10-28,70.07542391345773
2019-10-29,61.469268111156694
2019-10-30,63.16292511229037
2019-10-31,58.545630077134994
2019-11-01,59.55982512220667
2019-11-04,57.22598018430417
2019-11-05,60.35806245409681
2019-11-06,61.36243531086492
2019-11-07,69.9708081281702
2019-11-08,71.11609752256936
2019-11-11,80.59041439230927
2019-11-12,80.69952050688455
2019-11-13,77.19551718779209
2019-11-14,77.12800982162723
2019-11-15,74.16383010211632
2019-11-18,84.22964095302609
2019-11-19,81.27697942710311
2019-11-20,85.6327598686042
2019-11-21,83.64477734857546
2019-11-22,82.14276678026403
2019-11-25,86.04887354887354
2019-11-26,90.704771523602
2019-11-27,90.78945539516013
2019-11-28,88.87527164535474
2019-11-29,79.37566661393294
2019-12-02,62.6015894553208
2019-12-03,60.16257389017423
2019-12-04,59.29388351391349
2019-12-05,49.7435355705013
2019-12-06,57.621616271589055
2019-12-09,55.05734360978342
2019-12-10,58.342578510947526
2019-12-11,61.708853628465015
2019-12-12,66.72778563326662
2019-12-13,65.62499548450208
2019-12-16,66.26392575953531
2019-12-17,60.47743425632612
2019-12-18,58.813357404511244
2019-12-19,67.99666158886554
2019-12-20,83.02518724058476
2019-12-23,84.73414905450501
2019-12-24,83.76682915347203
2019-12-25,83.64953603387532
2019-12-26,82.8273367026228
2019-12-27,86.3984881525177
2019-12-30,77.89284076594265
2019-12-31,76.97835507339845
2020-01-01,73.27757567262788
2020-01-02,77.16317752429696
2020-01-03,62.653524886402835
2020-01-06,68.42099127479223
2020-01-07,62.43223086478558
2020-01-08,65.55393840348438
2020-01-09,66.27256984236128
2020-01-10,62.98741377223769
2020-01-13,67.31217998198318
2020-01-14,63.056622766546425
2020-01-15,62.562660929247656
2020-01-16,67.45761158870273
2020-01-17,73.5279905653682
2020-01-20,73.38311800211498
2020-01-21,71.25604915247365
2020-01-22,63.67061714322318
2020-01-23,73.01137299576742
2020-01-24,65.92472496593662
2020-01-27,61.645181120545146
2020-01-28,62.8777095300371
2020-01-29,63.88239557915378
2020-01-30,72.50195987096666
2020-01-31,63.34996772970093
2020-02-03,71.09884195211384
2020-02-04,75.11860393976858
2020-02-05,72.18091040904858
2020-02-06,74.48886493700726
2020-02-07,74.68388846241679
2020-02-10,79.04236967055482
2020-02-11,72.48080845207888
2020-02-12,71.97654777140825
2020-02-13,73.19256326426631
2020-02-14,79.47866655436073
2020-02-17,77.66342291806643
2020-02-18,77.21986161901594
2020-02-19,73.72382388480013
2020-02-20,72.98348669563876
2020-02-21,56.466963185755084
2020-02-24,36.62706868047931
2020-02-25,34.0609118271081
2020-02-26,31.03153901897244
2020-02-27,22.770578609306597
2020-02-28,21.13344828314621
2020-03-02,38.9573340993103
2020-03-03,33.377206133854486
2020-03-04,39.999995362069335
2020-03-05,36.060779219505235
2020-03-06,33.74350291302325
2020-03-09,27.733853776601052
2020-03-10,35.74518781297142
2020-03-11,34.11085071726073
2020-03-12,31.288461160655984
2020-03-13,44.87680700602625
2020-03-16,38.19509598117616
2020-03-17,41.99131800626694
2020-03-18,43.71820502707485
2020-03-19,43.107150221840904
2020-03-20,36.8331213302193
2020-03-23,38.82666948408902
2020-03-24,41.712069674518425
2020-03-25,42.6218270508533
2020-03-26,47.98702114773441
2020-03-27,49.649070137430314
2020-03-30,49.73726215310702
2020-03-31,51.61213848569064
2020-04-01,55.549883966027046
2020-04-02,48.23179504046487
2020-04-03,61.65632282073974
2020-04-06,61.79661307353999
2020-04-07,65.42006704735849
2020-04-08,65.10781609909247
2020-04-09,70.18155191102784
2020-04-10,71.60641086404388
2020-04-13,65.47126140938038
2020-04-14,71.50659147556412
2020-04-15,64.36510586225273
2020-04-16,75.48473152586885
2020-04-17,70.56192487013624
2020-04-20,68.9866444647717
2020-04-21,66.59625632330986
2020-04-22,68.30394862667768
2020-04-23,67.39861581167118
2020-04-24,60.98484957951622
2020-04-27,62.89062470896163
2020-04-28,55.371892720478314
2020-04-29,62.00898351174021
2020-04-30,63.28612283336773
2020-05-01,57.916821223417465
2020-05-04,54.821762753612944
2020-05-05,58.314595600726115
2020-05-06,55.497798732929205
2020-05-07,55.04846327538774
2020-05-08,60.22098981753003
2020-05-11,72.58833461036367
2020-05-12,61.12346279441389
2020-05-13,60.14121895625778
2020-05-14,57.72209863431531
2020-05-15,61.15054571153541
2020-05-18,69.68196018873789
2020-05-19,59.68146225048417
2020-05-20,59.99379624152476
2020-05-21,64.83586845765717
2020-05-22,59.09620753832077
2020-05-25,55.78946624503208
2020-05-26,47.97159097798485
2020-05-27,46.12384402594197
2020-05-28,42.68510969034615
2020-05-29,42.14316875693451
2020-06-01,50.86958540861235
2020-06-02,64.55982874335454
2020-06-03,63.88729729895751
2020-06-04,49.30230948910556
2020-06-05,55.80332940198385
2020-06-08,62.06016211198452
2020-06-09,60.883276707889074
2020-06-10,78.1368258883465
2020-06-11,54.020995965666
2020-06-12,55.90949089588213
2020-06-15,60.513548764581856
2020-06-16,64.90873356701256
2020-06-17,66.17130048324628
2020-06-18,66.36615291961488
2020-06-19,65.14256349856812
2020-06-22,67.78736564507008
2020-06-23,68.42573600437345
2020-06-24,66.0292120088642
2020-06-25,64.67827529417306
2020-06-26,58.37008880926361
2020-06-29,58.94780124010812
2020-06-30,57.201464395235114
2020-07-01,74.95258746424956
2020-07-02,75.01347817771743
2020-07-03,74.17641142644887
2020-07-06,74.03870325633432
2020-07-07,68.72492304328871
2020-07-08,70.68402239993766
2020-07-09,73.82551353795202
2020-07-10,68.47150079585803
2020-07-13,56.33595715548005
2020-07-14,63.85448430673664
2020-07-15,60.77223805927356
2020-07-16,60.585767148790424
2020-07-17,56.382982457217935
2020-07-20,60.52564393228007
2020-07-21,55.051137291381146
2020-07-22,56.60968412884401
2020-07-23,46.33425335112825
2020-07-24,40.11359675335136
2020-07-27,45.382039731773325
2020-07-28,37.95946309746856
2020-07-29,38.71037718488784
2020-07-30,39.13236380893345
2020-07-31,47.38974598722138
2020-08-03,58.23776511413402
2020-08-04,54.98575556373481
2020-08-05,59.2266839066879
2020-08-06,63.14146460556406
2020-08-07,50.94826449395585
2020-08-10,49.47676850902657
2020-08-11,41.57100085990122
2020-08-12,57.189201458641776
2020-08-13,58.13186142470814
2020-08-14,55.85166686823132
2020-08-17,59.672125406528835
2020-08-18,58.872708494518804
2020-08-19,56.66666783592209
2020-08-20,60.12270295117191
2020-08-21,45.28151838376371
2020-08-24,50.576049777380874
2020-08-25,54.75100465608397
2020-08-26,56.24672841668481
2020-08-27,67.63381969596934
2020-08-28,77.12709347446636
2020-08-31,80.26780218552076
2020-09-01,77.79825105936335
2020-09-02,81.51604644603674
2020-09-03,58.30696897330043
2020-09-04,53.800498167368104
2020-09-07,52.70481602872549
2020-09-08,44.21243488608213
2020-09-09,47.452369733092794
2020-09-10,44.450883750480074
2020-09-11,43.06033976248898
2020-09-14,41.89149521406385
2020-09-15,40.7534773120983
