,AAPL
2018-11-23,25.369867891406045
2018-11-26,25.55759330240633
2018-11-27,16.830763177752047
2018-11-28,26.680204204834084
2018-11-29,27.923455148639405
2018-11-30,33.45361793094513
2018-12-03,42.793240541908254
2018-12-04,40.65791859516495
2018-12-05,35.13131189827968
2018-12-06,30.94225407071049
2018-12-07,31.872266969867795
2018-12-10,40.80718767284456
2018-12-11,40.03911859334193
2018-12-12,40.7201646090535
2018-12-13,48.27052571543809
2018-12-14,39.08786813021856
2018-12-17,38.0343812053098
2018-12-18,30.67325884410809
2018-12-19,27.92238600322362
2018-12-20,26.019848872397503
2018-12-21,12.298156896509255
2018-12-24,13.567589405231104
2018-12-25,13.567589405231104
2018-12-26,32.21883859413809
2018-12-27,36.02173565098233
2018-12-28,34.493145225372416
2018-12-31,37.525776511397595
2019-01-01,36.845763637231016
2019-01-02,34.30499191295398
2019-01-03,27.506286107724037
2019-01-04,36.07459406338279
2019-01-07,33.35778472620413
2019-01-08,40.27617998815937
2019-01-09,46.52448231152578
2019-01-10,53.408846777084776
2019-01-11,56.40242680507405
2019-01-14,53.52770711009182
2019-01-15,44.556573572973726
2019-01-16,48.42899097865434
2019-01-17,49.52986650597439
2019-01-18,48.81443544254614
2019-01-21,48.81443544254614
2019-01-22,44.518280124329756
2019-01-23,71.69809403541414
2019-01-24,60.00901216986908
2019-01-25,68.26457621592505
2019-01-28,60.861061426323346
2019-01-29,52.783409658230624
2019-01-30,66.5033022571472
2019-01-31,70.58481944067698
2019-02-01,75.68407113362393
2019-02-04,76.87757057752384
2019-02-05,77.58025736953913
2019-02-06,77.01351312560102
2019-02-07,69.41692650521006
2019-02-08,68.41961363719089
2019-02-11,73.47886403605602
2019-02-12,74.11194277720975
2019-02-13,75.20181134120999
2019-02-14,71.56082413468079
2019-02-15,74.21118619553603
2019-02-18,78.57656943871149
2019-02-19,66.24708006131434
2019-02-20,66.07240316090392
2019-02-21,62.41789447588107
2019-02-22,55.56272762265715
2019-02-25,50.18130114136178
2019-02-26,50.32536524979976
2019-02-27,67.7505837466195
2019-02-28,61.1744748429943
2019-03-01,71.14501167119381
2019-03-04,69.80827847943908
2019-03-05,72.05272254746816
2019-03-06,64.85621173121173
2019-03-07,57.34462941989739
2019-03-08,58.54496099432273
2019-03-11,69.87529661384568
2019-03-12,71.1831955481656
2019-03-13,75.61326830557176
2019-03-14,75.74160237657361
2019-03-15,76.98590969822526
2019-03-18,78.72428162722734
2019-03-19,73.52701750756165
2019-03-20,80.39690102998233
2019-03-21,83.75836032635355
2019-03-22,73.05824310079271
2019-03-25,68.8984375784496
2019-03-26,67.09387573934308
2019-03-27,72.46131222943026
2019-03-28,72.336805615439
2019-03-29,68.03786448829288
2019-04-01,67.26846421992232
2019-04-02,69.3007085357311
2019-04-03,68.62179510692147
2019-04-04,66.41509315443662
2019-04-05,65.72127398008985
2019-04-08,72.48922983863218
2019-04-09,69.45777391450056
2019-04-10,61.85168180117675
2019-04-11,68.8453855315382
2019-04-12,77.04211273239478
2019-04-15,86.28935767140752
2019-04-16,84.81909279269156
2019-04-17,87.70275168996338
2019-04-18,87.37235841151303
2019-04-19,86.43184116770213
2019-04-22,84.54960508746463
2019-04-23,86.03680423148025
2019-04-24,84.11660584935461
2019-04-25,73.82047311012312
2019-04-26,63.76146284443529
2019-04-29,67.06748631345476
2019-04-30,50.140537016944215
2019-05-01,72.27571578817489
2019-05-02,68.85545689029797
2019-05-03,71.22033524835348
2019-05-06,64.09158996507952
2019-05-07,49.60857606631224
2019-05-08,48.579871853270056
2019-05-09,45.636465032644395
2019-05-10,40.54053417143413
2019-05-13,27.02703312246176
2019-05-14,31.492601107009946
2019-05-15,35.7426524659336
2019-05-16,35.84229303558743
2019-05-17,34.693078124452924
2019-05-20,33.402568351212565
2019-05-21,24.34578201931143
2019-05-22,23.130231117601184
2019-05-23,17.64468773173577
2019-05-24,18.613063225794733
2019-05-27,21.140372382291844
2019-05-28,20.693761734563864
2019-05-29,21.369000557042995
2019-05-30,25.249095534663738
2019-05-31,32.19660215224913
2019-06-03,23.277665841078203
2019-06-04,32.81536218461922
2019-06-05,39.19150302550947
2019-06-06,44.81908218076808
2019-06-07,59.94365853323063
2019-06-10,58.686804249940934
2019-06-11,68.32166265559741
2019-06-12,73.95319026053149
2019-06-13,75.57277025234589
2019-06-14,72.14540471643616
2019-06-17,74.85717275194223
2019-06-18,79.92048609741796
2019-06-19,78.06137563729658
2019-06-20,86.69876997521767
2019-06-21,89.63907313536787
2019-06-24,86.42308161808894
2019-06-25,74.95215192166648
2019-06-26,76.35576273290212
2019-06-27,71.03996143455424
2019-06-28,62.03786767639799
2019-07-01,64.29178322685183
2019-07-02,67.68847038536977
2019-07-03,69.89916650784426
2019-07-04,73.9433590484831
2019-07-05,72.09398621754576
2019-07-08,53.40565309551267
2019-07-09,57.1127223681829
2019-07-10,57.824801965084035
2019-07-11,55.96625776273763
2019-07-12,58.993908112282405
2019-07-15,69.17263250534877
2019-07-16,60.86955294310281
2019-07-17,57.94803950486555
2019-07-18,66.68104851572083
2019-07-19,52.296805022460205
