,AAPL,GOOG,MSFT
2019-11-26,65.09175071716308,64.97257480621337,147.30949935913085
2019-11-27,65.39900074005126,65.10182476043701,147.69499969482422
2019-11-28,65.63750076293945,65.23402462005615,148.1425003051758
2019-11-29,65.78037567138672,65.31207466125488,148.52550048828124
2019-12-02,65.86362571716309,65.30844993591309,148.77550048828124
2019-12-03,65.89262580871582,65.31657485961914,149.01800003051758
2019-12-04,65.94887580871583,65.38842506408692,149.30750045776367
2019-12-05,66.02575073242187,65.43660011291504,149.59100036621095
2019-12-06,66.15787544250489,65.50972518920898,149.88050003051757
2019-12-09,66.21687545776368,65.620650100708,150.14300003051758
2019-12-10,66.29837570190429,65.73530006408691,150.34599990844725
2019-12-11,66.3771255493164,65.85284996032715,150.56549987792968
2019-12-12,66.48737525939941,65.94987487792969,150.8245002746582
2019-12-13,66.60475006103516,65.98227500915527,151.0525001525879
2019-12-16,66.76424980163574,66.08344993591308,151.3120002746582
2019-12-17,66.94074974060058,66.18259963989257,151.5270004272461
2019-12-18,67.14762458801269,66.30652465820313,151.7645004272461
2019-12-19,67.37274932861328,66.44324989318848,152.0760009765625
2019-12-20,67.59349937438965,66.57887496948243,152.46700134277344
2019-12-23,67.81387443542481,66.68424987792969,152.77600173950196
2019-12-24,68.06362419128418,66.75927505493163,153.04350204467772
2019-12-25,68.26899909973145,66.83570022583008,153.29650192260743
2019-12-26,68.54487419128418,66.9542251586914,153.61400146484374
2019-12-27,68.82674903869629,67.07154998779296,153.99300155639648
2019-12-30,69.16874885559082,67.18709983825684,154.39500122070314
2019-12-31,69.59624862670898,67.29144973754883,154.81450119018555
2020-01-01,69.99512367248535,67.33264961242676,155.20700073242188
2020-01-02,70.42974891662598,67.43074951171874,155.7415008544922
2020-01-03,70.76374893188476,67.48084945678711,156.08500061035156
2020-01-06,71.1747486114502,67.60747451782227,156.46850051879883
2020-01-07,71.54862365722656,67.72917442321777,156.79100036621094
2020-01-08,71.95387382507325,67.87742462158204,157.21050033569335
2020-01-09,72.43099899291992,68.05132484436035,157.6529998779297
2020-01-10,72.8707489013672,68.25607490539551,157.99349975585938
2020-01-13,73.33449897766113,68.45122489929199,158.38099975585936
2020-01-14,73.73787384033203,68.640625,158.75299987792968
2020-01-15,74.13287391662598,68.85707511901856,159.19349975585936
2020-01-16,74.57312393188477,69.09622497558594,159.71649932861328
2020-01-17,75.06424903869629,69.4232250213623,160.20099945068358
2020-01-20,75.4983741760254,69.75209999084473,160.6854995727539
2020-01-21,75.90212440490723,70.10419998168945,161.1414993286133
2020-01-22,76.31999969482422,70.46017494201661,161.55749893188477
2020-01-23,76.68649978637696,70.7757999420166,161.95999908447266
2020-01-24,77.04287490844726,71.06285018920899,162.26399841308594
2020-01-27,77.26075019836426,71.30725021362305,162.49849853515624
2020-01-28,77.56125030517578,71.59610023498536,162.8864990234375
2020-01-29,77.94487533569335,71.90012550354004,163.40349884033202
2020-01-30,78.23887519836425,72.1213005065918,164.0114990234375
2020-01-31,78.3898754119873,72.30522575378419,164.59199905395508
2020-02-03,78.50062561035156,72.53455047607422,165.35949935913087
2020-02-04,78.75637550354004,72.66887550354004,166.4864990234375
2020-02-05,78.98462562561035,72.77865028381348,167.47699890136718
2020-02-06,79.17937545776367,72.91965026855469,168.5539993286133
2020-02-07,79.30062561035156,73.04340019226075,169.68149948120117
2020-02-10,79.35800056457519,73.21702499389649,170.95249938964844
2020-02-11,79.44462547302246,73.41180000305175,172.06799926757813
2020-02-12,79.64287567138672,73.60947494506836,173.1444999694824
2020-02-13,79.76325073242188,73.76687507629394,174.02150039672853
2020-02-14,79.84100074768067,73.86775016784668,174.93400039672852
2020-02-17,79.91875076293945,73.96862525939942,175.84650039672852
2020-02-18,79.94912567138672,74.0568000793457,176.88300018310548
2020-02-19,80.02312545776367,74.15865020751953,177.9620002746582
2020-02-20,80.03650016784668,74.23740043640137,178.8470001220703
2020-02-21,79.97075004577637,74.28340034484863,179.5245002746582
2020-02-24,79.83612480163575,74.2526252746582,179.9550003051758
2020-02-25,79.46599960327148,74.09235038757325,180.08550033569335
2020-02-26,79.0698745727539,73.92872505187988,180.19200057983397
2020-02-27,78.44049949645996,73.58435020446777,179.4620002746582
2020-02-28,77.98862419128417,73.34710006713867,179.05100021362304
2020-03-02,77.86549911499023,73.105025100708,178.97149963378905
2020-03-03,77.49637413024902,72.84082527160645,178.19099960327148
2020-03-04,77.26249885559082,72.68655014038086,177.72350006103517
2020-03-05,76.85887413024902,72.29357528686523,176.8555000305176
2020-03-06,76.47137413024902,71.84152526855469,175.7395004272461
2020-03-09,75.7791244506836,71.10872535705566,173.83550033569335
2020-03-10,75.35074958801269,70.5377254486084,172.6595001220703
2020-03-11,74.70362434387206,69.78057556152343,171.1055000305176
2020-03-12,73.74562435150146,68.78120040893555,168.8729995727539
2020-03-13,73.15837421417237,68.02867527008057,167.54699935913087
2020-03-16,72.1241241455078,66.93765010833741,165.05049896240234
2020-03-17,71.29737415313721,65.9379753112793,163.01749954223632
2020-03-18,70.33549919128419,64.86325016021729,160.6734992980957
2020-03-19,69.39149932861328,63.85610008239746,158.5879997253418
2020-03-20,68.34387454986572,62.824125099182126,156.52600021362304
2020-03-23,67.4212495803833,61.91170024871826,154.78050003051757
2020-03-24,66.90624980926513,61.27672519683838,153.79399948120118
2020-03-25,66.31712493896484,60.55000038146973,152.63149948120116
2020-03-26,66.12862510681153,60.15915031433106,152.5279998779297
2020-03-27,65.80837535858154,59.58760032653809,151.9125
2020-03-30,65.25837535858155,58.9818754196167,151.2845001220703
2020-03-31,64.82050018310547,58.53542518615723,150.9445007324219
2020-04-01,64.04762535095215,57.83317527770996,150.02250061035156
2020-04-02,63.447750091552734,57.33767509460449,149.4720001220703
2020-04-03,62.85250015258789,56.83635005950928,149.08499984741212
2020-04-06,62.80625,56.76475009918213,149.81750030517577
2020-04-07,62.48237495422363,56.530050086975095,149.9460006713867
2020-04-08,62.3653751373291,56.517225074768064,150.52100067138673
2020-04-09,62.61237506866455,56.7585750579834,151.82500076293945
2020-04-10,62.487624931335446,56.73787498474121,152.14050064086913
2020-04-13,62.87562484741211,57.070949935913085,153.64500045776367
2020-04-14,63.30299968719483,57.44452476501465,155.00149993896486
2020-04-15,63.77499961853027,57.858699798583984,156.57550048828125
2020-04-16,64.29887466430664,58.22914981842041,158.29199981689453
2020-04-17,64.9683744430542,58.75647468566895,160.35449981689453
2020-04-20,65.62537441253662,59.281449699401854,162.30849990844726
2020-04-21,65.89399929046631,59.48614978790283,163.28250045776366
2020-04-22,66.2762493133545,59.887949752807614,164.61250076293945
2020-04-23,66.48362426757812,60.17434959411621,165.37800064086915
2020-04-24,66.92399921417237,60.595849609375,166.62050094604493
2020-04-27,67.27849941253662,60.91849956512451,167.31150131225587
2020-04-28,67.58212432861328,61.095649528503415,167.9165008544922
2020-04-29,68.16737442016601,61.685299491882326,169.18250045776367
2020-04-30,68.77824935913085,62.254849433898926,170.38000106811523
2020-05-01,69.37399940490722,62.81167449951172,171.41700134277343
2020-05-04,69.7576244354248,63.16137428283692,172.09550094604492
2020-05-05,70.23424949645997,63.57287406921387,172.95900039672853
2020-05-06,70.66624946594239,63.9154239654541,173.82949981689453
2020-05-07,71.11312446594238,64.31819896697998,174.75250015258788
2020-05-08,71.63987464904785,64.76049919128418,175.72949981689453
2020-05-11,72.16187477111816,65.22474937438965,176.79100036621094
2020-05-12,72.46637496948242,65.49102458953857,177.23150024414062
2020-05-13,72.75662498474121,65.7081745147705,177.625
2020-05-14,73.04225006103516,65.93982467651367,177.79950027465821
2020-05-15,73.35362510681152,66.16467475891113,178.0275001525879
2020-05-18,73.82900009155273,66.45799961090088,178.52000045776367
2020-05-19,74.38862533569336,66.85086193084717,179.31050033569335
2020-05-20,74.92775039672851,67.20963687896729,179.9175003051758
2020-05-21,75.45050048828125,67.52586193084717,180.51800003051758
2020-05-22,75.89950065612793,67.85363712310792,180.96599960327148
2020-05-25,76.34600067138672,68.18998737335205,181.4389991760254
2020-05-26,76.8228759765625,68.64836235046387,182.02699966430663
2020-05-27,77.20262565612794,68.83926239013672,182.24599990844726
2020-05-28,77.50825080871581,69.00943756103516,182.35549926757812
2020-05-29,77.86912574768067,69.28021240234375,182.78949890136718
2020-06-01,78.22775077819824,69.54276275634766,182.9889991760254
2020-06-02,78.55000076293945,69.76303787231446,183.19649963378907
2020-06-03,78.85612564086914,69.98573799133301,183.3375
2020-06-04,79.08837585449218,70.08478813171386,183.3034996032715
2020-06-05,79.35550079345703,70.20983810424805,183.42949981689452
2020-06-08,79.5861255645752,70.318212890625,183.5104995727539
2020-06-09,79.99337539672851,70.5192626953125,183.875
2020-06-10,80.5582504272461,70.81056289672851,184.72949981689453
